Программа передач канала Disney c 20 августа по 26 августа 2018 г.
Понедельник, 20 августа
7.15 Узнавайка: "Дружные мопсы". Мультсериал. (0+). США, 2016 г.
7.45 Узнавайка: "Герои в масках". Мультсериал. (0+). Франция, 2015 г.
8.15 Узнавайка: "Хранитель Лев". Мультсериал. (0+). США, 2015 г.
8.40 Узнавайка: "Голди и Мишка". Мультсериал. (6+). США, 2015 г.
9.10 Узнавайка: "Доктор Плюшева". Мультсериал. (0+). США, 2012 г.
9.40 Узнавайка: "София Прекрасная". Мультсериал. (0+). США, 2013 г.
10.10 Узнавайка: "Елена - принцесса Авалора". Мультсериал. (0+). США, 2015 г.
10.35 Узнавайка: "Хранитель Лев". Мультсериал. (0+). США, 2016 г.
11.05 Узнавайка: "Герои в масках". Мультсериал. (0+). Франция, 2016 г.
11.35 Узнавайка: "Дружные мопсы". Мультсериал. (0+). США, 2016 г.
12.00 "Питер Пэн: Возвращение в Нетландию". Анимационный фильм. (6+). США, 2002 г.
13.30 Марафон "Легендарная пятёрка". Мультсериал. (6+). Франция, 2017 г.
15.15 Марафон "Рапунцель: Новая история". Мультсериал. (6+). США, 2016 г.
18.00 "Феи". Анимационный фильм. (0+). США, 2008 г.
19.30 "Феи: Тайна зимнего леса". Анимационный фильм. (0+). США, 2012 г.
21.00 "Волшебная страна". Анимационный фильм. (6+). Китай, 2014 г.
22.55 "ВЫПУСКНОЙ". Художественный фильм. (12+). США, 2011 г.
0.40 "ЛИМОНАДНЫЙ РОТ". Музыкальный фильм. (12+). США, 2011 г.
3.05 "Геркулес". Мультсериал. (12+). США, 1998 г.
4.35 Музыка на Канале Disney. (6+).
4.59 -
Суббота, 25 августа
5.00 "Вот так тигр!". Мультфильм. (6+). СССР, 1963 г.
5.15 "Великое закрытие". Мультфильм. (6+). СССР, 1985 г.
5.25 "Джинглики". Мультсериал. (0+). Россия, 2015 г.
5.45 Узнавайка: "Голди и Мишка". Мультсериал. (6+). США, 2016 г.
6.15 Узнавайка: "Джейк и пираты Нетландии". Мультсериал. (0+). США, 2013 г.
6.45 Узнавайка: "Микки и весёлые гонки". Мультсериал. (0+). США, 2016 г.
7.15 Узнавайка: "Дружные мопсы". Мультсериал. (0+). США, 2016 г.
7.45 Узнавайка: "Герои в масках". Мультсериал. (0+). Франция, 2015 г.
8.15 Узнавайка: "Хранитель Лев". Мультсериал. (0+). США, 2015 г.
8.40 Узнавайка: "Голди и Мишка". Мультсериал. (6+). США, 2016 г.
9.10 Узнавайка: "Доктор Плюшева". Мультсериал. (0+). США, 2012 г.
9.40 Узнавайка: "София Прекрасная". Мультсериал. (0+). США, 2013 г.
10.10 Узнавайка: "Елена - принцесса Авалора". Мультсериал. (0+). США, 2017 г.
10.35 Узнавайка: "Хранитель Лев". Мультсериал. (0+). США, 2016 г.
11.05 Узнавайка: "Герои в масках". Мультсериал. (0+). Франция, 2016 г.
11.35 Узнавайка: "Дружные мопсы". Мультсериал. (0+). США, 2016 г.
12.00 "Мультачки: Байки Мэтра". Анимационный фильм. (0+). США, 2010 г.
12.45 "Геркулес". Мультсериал. (12+). США, 1998 г.
14.10 Марафон "Леди Баг и Супер-Кот". Мультсериал. (6+). Франция, 2017 г.
16.35 "Феи: Загадка пиратского острова". Анимационный фильм. (0+). США, 2014 г.
18.05 "Феи: Потерянное сокровище". Анимационный фильм. (0+). США, 2009 г.
19.30 "ЗОЛУШКА". Художественный фильм. (6+). США, 2015 г.
21.40 "ИДЕАЛЬНАЯ ИГРУШКА". Художественный фильм. (12+). США, 2000 г.
23.35 "ЛОВУШКА ДЛЯ РОДИТЕЛЕЙ". Художественный фильм. (+12). США, 1998 г.
2.00 "БУНТАРКА". Художественный фильм. (6+). США, 2012 г.
3.45 "Геркулес". Мультсериал. (12+). США, 1998 г.
4.35 Музыка на Канале Disney. (6+).
4.59 -
Воскресенье, 26 августа
5.00 "Как Львенок и Черепаха пели песню". Мультфильм. (6+). СССР, 1974 г.
5.15 "Куда идет слоненок". Анимационный фильм. (0+). СССР, 1977 г.
5.25 "Джинглики". Мультсериал. (0+). Россия, 2015 г.
5.45 Узнавайка: "Голди и Мишка". Мультсериал. (6+). США, 2016 г.
6.15 Узнавайка: "Джейк и пираты Нетландии". Мультсериал. (0+). США, 2013 г.
6.45 Узнавайка: "Микки и весёлые гонки". Мультсериал. (0+). США, 2016 г.
7.15 Узнавайка: "Дружные мопсы". Мультсериал. (0+). США, 2016 г.
7.45 Узнавайка: "Герои в масках". Мультсериал. (0+). Франция, 2015 г.
8.15 Узнавайка: "Хранитель Лев". Мультсериал. (0+). США, 2015 г.
8.40 Узнавайка: "Голди и Мишка". Мультсериал. (6+). США, 2016 г.
9.10 Узнавайка: "Доктор Плюшева". Мультсериал. (0+). США, 2012 г.
9.40 Узнавайка: "София Прекрасная". Мультсериал. (0+). США, 2013 г.
10.10 Узнавайка: "Елена - принцесса Авалора". Мультсериал. (0+). США, 2017 г.
10.35 Узнавайка: "Хранитель Лев". Мультсериал. (0+). США, 2016 г.
11.05 Узнавайка: "Герои в масках". Мультсериал. (0+). Франция, 2016 г.
11.35 Узнавайка: "Дружные мопсы". Мультсериал. (0+). США, 2016 г.
12.00 "История игрушек и ужасов". Анимационный фильм. (6+). США, 2013 г.
12.40 Марафон "Аладдин". Мультсериал. (0+). США, 1994 г.
14.15 "Рапунцель: Счастлива навсегда". Короткометражный анимационный фильм. (6+). США, 2012 г.
14.25 "ЗОЛУШКА". Художественный фильм. (6+). США, 2015 г.
16.35 "Феи: Волшебное спасение". Анимационный фильм. (0+). США, 2010 г.
18.05 "Феи: Тайна зимнего леса". Анимационный фильм. (0+). США, 2012 г.
19.30 "Феи: Загадка пиратского острова". Анимационный фильм. (0+). США, 2014 г.
21.00 "ЛОВУШКА ДЛЯ РОДИТЕЛЕЙ". Художественный фильм. (12+). США, 1998 г.
23.30 "ИДЕАЛЬНАЯ ИГРУШКА". Художественный фильм. (12+). США, 2000 г.
1.15 "ВЫПУСКНОЙ". Художественный фильм. (12+). США, 2011 г.
3.00 "Волшебная страна". Анимационный фильм. (6+). Китай, 2014 г.
4.35 Музыка на Канале Disney. (6+).
4.59 -
